disease_mondo_term_norm,disease_mondo_termid,Disease Class
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with seasonal pattern and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with seasonal pattern and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, additional symptoms unspecified",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptom, melancholia, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms, melancholia, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with prominent anxiety symptoms, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with seasonal pattern and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with seasonal pattern and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate without psychotic symptoms, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, additional symptoms unspecified",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptom, melancholia, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms, melancholia, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, severe with psychotic symptoms, with prominent anxiety symptoms, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
